股票名称,股票代码
利通电子,603629
润建股份,002929
盈峰环境,000967
润建股份,002929
中国长城,000066
东山精密,002384
宏和科技,603256
长飞光纤,601869
亨通光电,600487
通鼎互联,002491
光迅科技,002281
福晶科技,002222
云南锗业,002428
天通股份,600330
东材科技,601208
大族激光,002008
北方稀土,600111
罗曼股份,605289
德福科技,301511
中材科技,002080
共达电声,002655
北方铜业,000737
剑桥科技,603083
德明利,001309
盛合晶微,688820
铜冠铜箔,301217
菲利华,300395
东田微,301183
兴森科技,002436
永鼎股份,600105
中芯国际,688981
北京君正,300223
绿的谐波,688017
菲菱科思,301191
华虹公司,688347
康强电子,002119
中国长城,000066
华盛昌,002980
泰晶科技,603738
冰轮环境,000811
大唐电信,601991
大普微,301666
