股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
航天发展,000547,2026-01-12,2025-11-27,2026-01-12,2025-11-27,12.28,30日异动,38.00,37.78,0.58%
航天发展,000547,2026-01-13,2025-11-30,2026-01-13,2025-12-01,14.86,30日异动,45.67,37.78,20.88%
航天发展,000547,2026-01-14,2025-12-01,2026-01-14,2025-12-01,14.86,30日异动,45.67,37.78,20.88%
航天发展,000547,2026-01-15,2025-12-02,2026-01-15,2025-12-02,16.35,30日异动,50.37,37.78,33.31%
航天发展,000547,2026-01-16,2025-12-03,2026-01-16,2025-12-03,17.20,30日异动,53.15,37.78,40.67%
航天发展,000547,2026-01-19,2025-12-04,2026-01-19,2025-12-04,18.70,30日异动,57.80,37.78,52.99%
航天发展,000547,2026-01-20,2025-12-07,2026-01-20,2025-12-11,20.25,30日异动,62.42,37.78,65.23%
航天发展,000547,2026-01-21,2025-12-08,2026-01-21,2025-12-11,20.25,30日异动,62.42,37.78,65.23%
航天发展,000547,2026-01-22,2025-12-09,2026-01-22,2025-12-11,20.25,30日异动,62.42,37.78,65.23%
航天发展,000547,2026-01-23,2025-12-10,2026-01-23,2025-12-11,20.25,30日异动,62.42,37.78,65.23%

航天动力,600343,2026-01-12,2025-11-27,2026-01-12,2025-11-27,22.35,30日异动,68.47,46.40,47.56%
航天动力,600343,2026-01-13,2025-11-30,2026-01-13,2025-12-01,23.05,30日异动,70.37,46.40,51.65%
航天动力,600343,2026-01-14,2025-12-01,2026-01-14,2025-12-01,23.05,30日异动,70.37,46.40,51.65%
航天动力,600343,2026-01-15,2025-12-02,2026-01-15,2025-12-02,24.14,30日异动,73.80,46.40,59.06%
航天动力,600343,2026-01-16,2025-12-03,2026-01-16,2025-12-04,25.65,30日异动,78.57,46.40,69.34%
航天动力,600343,2026-01-19,2025-12-04,2026-01-19,2025-12-04,25.65,30日异动,78.57,46.40,69.34%
航天动力,600343,2026-01-20,2026-01-06,2026-01-20,2026-01-07,45.30,10日异动,90.98,46.40,96.09%
航天动力,600343,2026-01-21,2026-01-07,2026-01-21,2026-01-07,45.30,10日异动,90.98,46.40,96.09%
航天动力,600343,2026-01-22,2026-01-08,2026-01-22,2026-01-09,46.40,10日异动,92.80,46.40,100.00%
航天动力,600343,2026-01-23,2026-01-11,2026-01-23,2026-01-09,46.40,10日异动,92.80,46.40,100.00%

中国卫星,600118,2026-01-12,2025-11-27,2026-01-12,2025-12-03,41.79,30日异动,127.99,106.05,20.69%
中国卫星,600118,2026-01-13,2025-11-30,2026-01-13,2025-12-03,41.79,30日异动,127.99,106.05,20.69%
中国卫星,600118,2026-01-14,2025-12-01,2026-01-14,2025-12-03,41.79,30日异动,127.99,106.05,20.69%
中国卫星,600118,2026-01-15,2025-12-02,2026-01-15,2025-12-03,41.79,30日异动,127.99,106.05,20.69%
中国卫星,600118,2026-01-16,2025-12-03,2026-01-16,2025-12-03,41.79,30日异动,127.99,106.05,20.69%
中国卫星,600118,2026-01-19,2025-12-04,2026-01-19,2025-12-04,45.97,30日异动,140.82,106.05,32.78%
中国卫星,600118,2026-01-20,2025-12-07,2026-01-20,2025-12-09,48.68,30日异动,148.67,106.05,40.19%
中国卫星,600118,2026-01-21,2025-12-08,2026-01-21,2025-12-09,48.68,30日异动,148.67,106.05,40.19%
中国卫星,600118,2026-01-22,2025-12-09,2026-01-22,2025-12-09,48.68,30日异动,148.67,106.05,40.19%
中国卫星,600118,2026-01-23,2025-12-10,2026-01-23,2025-12-10,50.15,30日异动,153.28,106.05,44.54%

中国卫通,601698,2026-01-12,2025-12-25,2026-01-12,2025-12-25,25.74,10日异动,52.53,48.98,7.24%
中国卫通,601698,2026-01-13,2025-12-28,2026-01-13,2025-12-29,30.00,10日异动,61.17,48.98,24.90%
中国卫通,601698,2026-01-14,2025-12-29,2026-01-14,2025-12-29,30.00,10日异动,61.17,48.98,24.90%
中国卫通,601698,2026-01-15,2025-12-02,2026-01-15,2025-12-03,20.72,30日异动,63.46,48.98,29.56%
中国卫通,601698,2026-01-16,2025-12-03,2026-01-16,2025-12-03,20.72,30日异动,63.46,48.98,29.56%
中国卫通,601698,2026-01-19,2025-12-04,2026-01-19,2025-12-04,21.54,30日异动,65.98,48.98,34.71%
中国卫通,601698,2026-01-20,2025-12-07,2026-01-20,2025-12-09,22.08,30日异动,67.43,48.98,37.67%
中国卫通,601698,2026-01-21,2025-12-08,2026-01-21,2025-12-09,22.08,30日异动,67.43,48.98,37.67%
中国卫通,601698,2026-01-22,2025-12-09,2026-01-22,2025-12-09,22.08,30日异动,67.43,48.98,37.67%
中国卫通,601698,2026-01-23,2025-12-10,2026-01-23,2025-12-12,22.97,30日异动,70.28,48.98,43.48%

北斗星通,002151,2026-01-12,2025-12-25,2026-01-12,2025-12-25,38.34,10日异动,78.59,60.82,29.22%
北斗星通,002151,2026-01-13,2025-12-28,2026-01-13,2025-12-30,41.30,10日异动,84.58,60.82,39.06%
北斗星通,002151,2026-01-14,2025-12-29,2026-01-14,2025-12-30,41.30,10日异动,84.58,60.82,39.06%
北斗星通,002151,2026-01-15,2025-12-30,2026-01-15,2025-12-30,41.30,10日异动,84.58,60.82,39.06%
