股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
利欧股份,2131,7.46,10,2026-01-23,14.92,100.0,3,2026-01-12
华胜天成,600410,21.22,10,2026-01-23,42.44,100.0,5,2026-01-12
博瑞传播,600880,6.47,10,2026-01-23,12.94,100.0,5,2026-01-12
天下秀,600556,7.82,10,2026-01-23,15.64,100.0,5,2026-01-12
昆仑万维,300418,54.02,10,2026-01-23,108.04,100.0,2,2026-01-12
浙文互联,600986,9.76,10,2026-01-23,19.52,100.0,5,2026-01-12
美年健康,2044,6.13,10,2026-01-23,12.26,100.0,6,2026-01-12
道氏技术,300409,29.12,7,2026-01-20,58.24,100.0,2,2026-01-12
易点天下,301171,52.69,10,2026-01-23,102.99,95.46403492123743,1,2026-01-12
南兴股份,2757,25.0,10,2026-01-23,48.24,92.96,2,2026-01-12
引力传媒,603598,25.93,10,2026-01-23,48.26,86.11646741226377,2,2026-01-12
蓝色光标,300058,17.18,6,2026-01-19,25.76,49.941792782305015,1,2026-01-16
志特新材,300986,27.82,7,2026-01-20,30.41,9.309849029475203,1,2026-01-16
