股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
平潭发展,000592,2026-01-14,2025-12-29,2026-01-14,2026-01-06,14.49,10日异动,29.30,15.41,90.16%
平潭发展,000592,2026-01-15,2025-12-30,2026-01-15,2026-01-06,14.49,10日异动,29.30,15.41,90.16%
平潭发展,000592,2026-01-16,2026-01-04,2026-01-16,2026-01-06,14.49,10日异动,29.30,15.41,90.16%
平潭发展,000592,2026-01-19,2026-01-05,2026-01-19,2026-01-06,14.49,10日异动,29.30,15.41,90.16%
平潭发展,000592,2026-01-20,2026-01-06,2026-01-20,2026-01-06,14.49,10日异动,29.30,15.41,90.16%
平潭发展,000592,2026-01-21,2026-01-07,2026-01-21,2026-01-09,14.97,10日异动,30.03,15.41,94.87%
平潭发展,000592,2026-01-22,2026-01-08,2026-01-22,2026-01-09,14.97,10日异动,30.03,15.41,94.87%
平潭发展,000592,2026-01-23,2026-01-11,2026-01-23,2026-01-13,15.41,10日异动,30.82,15.41,100.00%
平潭发展,000592,2026-01-26,2026-01-12,2026-01-26,2026-01-13,15.41,10日异动,30.82,15.41,100.00%
平潭发展,000592,2026-01-27,2026-01-13,2026-01-27,2026-01-13,15.41,10日异动,30.82,15.41,100.00%

国晟科技,603778,2026-01-14,2025-11-26,2026-01-14,2025-11-26,9.58,30日异动,29.42,25.20,16.75%
国晟科技,603778,2026-01-15,2025-12-25,2026-01-15,2025-12-26,15.25,10日异动,31.17,25.20,23.71%
国晟科技,603778,2026-01-16,2025-12-28,2026-01-16,2025-12-30,16.32,10日异动,33.36,25.20,32.36%
国晟科技,603778,2026-01-19,2025-12-29,2026-01-19,2025-12-30,16.32,10日异动,33.36,25.20,32.36%
国晟科技,603778,2026-01-20,2025-12-30,2026-01-20,2025-12-30,16.32,10日异动,33.36,25.20,32.36%
国晟科技,603778,2026-01-21,2025-12-03,2026-01-21,2025-12-15,11.62,30日异动,35.67,25.20,41.57%
国晟科技,603778,2026-01-22,2025-12-04,2026-01-22,2025-12-15,11.62,30日异动,35.67,25.20,41.57%
国晟科技,603778,2026-01-23,2025-12-07,2026-01-23,2025-12-15,11.62,30日异动,35.67,25.20,41.57%
国晟科技,603778,2026-01-26,2025-12-08,2026-01-26,2025-12-15,11.62,30日异动,35.67,25.20,41.57%
国晟科技,603778,2026-01-27,2025-12-09,2026-01-27,2025-12-15,11.62,30日异动,35.67,25.20,41.57%

嘉美包装,002969,2026-01-14,2025-11-19,2026-01-14,2025-11-21,3.58,30日异动,11.20,17.55,-36.17%
嘉美包装,002969,2026-01-15,2025-11-20,2026-01-15,2025-11-21,3.58,30日异动,11.20,17.55,-36.17%
嘉美包装,002969,2026-01-16,2025-11-23,2026-01-16,2025-11-24,3.65,30日异动,11.39,17.55,-35.12%
嘉美包装,002969,2026-01-19,2025-11-24,2026-01-19,2025-11-24,3.65,30日异动,11.39,17.55,-35.12%
嘉美包装,002969,2026-01-20,2025-11-25,2026-01-20,2025-11-26,3.70,30日异动,11.47,17.55,-34.64%
嘉美包装,002969,2026-01-21,2025-11-26,2026-01-21,2025-11-26,3.70,30日异动,11.47,17.55,-34.64%
嘉美包装,002969,2026-01-22,2025-11-27,2026-01-22,2025-11-27,3.76,30日异动,11.66,17.55,-33.56%
嘉美包装,002969,2026-01-23,2025-11-30,2026-01-23,2025-12-01,3.86,30日异动,11.89,17.55,-32.27%
嘉美包装,002969,2026-01-26,2025-12-01,2026-01-26,2025-12-01,3.86,30日异动,11.89,17.55,-32.27%
嘉美包装,002969,2026-01-27,2025-12-02,2026-01-27,2025-12-04,3.93,30日异动,12.17,17.55,-30.64%

盛通能源,001331,2026-01-14,2025-11-19,2026-01-14,2025-11-21,13.24,30日异动,41.43,62.28,-33.48%
盛通能源,001331,2026-01-15,2025-11-20,2026-01-15,2025-11-21,13.24,30日异动,41.43,62.28,-33.48%
盛通能源,001331,2026-01-16,2025-11-23,2026-01-16,2025-11-24,13.31,30日异动,41.52,62.28,-33.34%
盛通能源,001331,2026-01-19,2025-11-24,2026-01-19,2025-11-24,13.31,30日异动,41.52,62.28,-33.34%
盛通能源,001331,2026-01-20,2025-11-25,2026-01-20,2025-11-25,13.43,30日异动,41.68,62.28,-33.07%
盛通能源,001331,2026-01-21,2025-11-26,2026-01-21,2025-11-26,13.51,30日异动,41.88,62.28,-32.75%
盛通能源,001331,2026-01-22,2025-11-27,2026-01-22,2025-11-27,13.53,30日异动,41.96,62.28,-32.63%
盛通能源,001331,2026-01-23,2025-11-30,2026-01-23,2025-12-03,13.65,30日异动,42.27,62.28,-32.14%
盛通能源,001331,2026-01-26,2025-12-01,2026-01-26,2025-12-03,13.65,30日异动,42.27,62.28,-32.14%
盛通能源,001331,2026-01-27,2025-12-02,2026-01-27,2025-12-03,13.65,30日异动,42.27,62.28,-32.14%

航天动力,600343,2026-01-14,2025-12-01,2026-01-14,2025-12-01,23.05,30日异动,70.48,45.78,53.95%
航天动力,600343,2026-01-15,2025-12-02,2026-01-15,2025-12-02,24.14,30日异动,73.92,45.78,61.46%
航天动力,600343,2026-01-16,2025-12-03,2026-01-16,2025-12-04,25.65,30日异动,78.69,45.78,71.90%
航天动力,600343,2026-01-19,2025-12-04,2026-01-19,2025-12-04,25.65,30日异动,78.69,45.78,71.90%
航天动力,600343,2026-01-20,2026-01-06,2026-01-20,2026-01-07,45.30,10日异动,91.19,45.78,99.19%
航天动力,600343,2026-01-21,2026-01-07,2026-01-21,2026-01-07,45.30,10日异动,91.19,45.78,99.19%
航天动力,600343,2026-01-22,2026-01-08,2026-01-22,2026-01-13,45.78,10日异动,91.56,45.78,100.00%
航天动力,600343,2026-01-23,2026-01-11,2026-01-23,2026-01-13,45.78,10日异动,91.56,45.78,100.00%
航天动力,600343,2026-01-26,2026-01-12,2026-01-26,2026-01-13,45.78,10日异动,91.56,45.78,100.00%
航天动力,600343,2026-01-27,2026-01-13,2026-01-27,2026-01-13,45.78,10日异动,91.56,45.78,100.00%

神剑股份,002361,2026-01-14,2025-12-01,2026-01-14,2025-12-01,6.41,30日异动,19.74,16.48,19.78%
神剑股份,002361,2026-01-15,2025-12-02,2026-01-15,2025-12-04,6.55,30日异动,20.29,16.48,23.11%
神剑股份,002361,2026-01-16,2025-12-03,2026-01-16,2025-12-04,6.55,30日异动,20.29,16.48,23.11%
神剑股份,002361,2026-01-19,2025-12-04,2026-01-19,2025-12-04,6.55,30日异动,20.29,16.48,23.11%
神剑股份,002361,2026-01-20,2025-12-07,2026-01-20,2025-12-09,6.59,30日异动,20.27,16.48,23.03%
神剑股份,002361,2026-01-21,2025-12-08,2026-01-21,2025-12-09,6.59,30日异动,20.27,16.48,23.03%
神剑股份,002361,2026-01-22,2025-12-09,2026-01-22,2025-12-09,6.59,30日异动,20.27,16.48,23.03%
神剑股份,002361,2026-01-23,2025-12-10,2026-01-23,2025-12-10,6.62,30日异动,20.35,16.48,23.47%
神剑股份,002361,2026-01-26,2025-12-11,2026-01-26,2025-12-11,6.74,30日异动,20.82,16.48,26.34%
神剑股份,002361,2026-01-27,2025-12-14,2026-01-27,2025-12-17,6.75,30日异动,20.85,16.48,26.51%
