股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
三维通信,002115,2026-01-14,2025-12-29,2026-01-14,2025-12-29,12.25,10日异动,25.19,17.81,41.43%
三维通信,002115,2026-01-15,2025-12-30,2026-01-15,2025-12-30,12.36,10日异动,25.39,17.81,42.56%
三维通信,002115,2026-01-16,2026-01-04,2026-01-16,2026-01-07,12.72,10日异动,25.71,17.81,44.36%
三维通信,002115,2026-01-19,2026-01-05,2026-01-19,2026-01-07,12.72,10日异动,25.71,17.81,44.36%
三维通信,002115,2026-01-20,2026-01-06,2026-01-20,2026-01-07,12.72,10日异动,25.71,17.81,44.36%
三维通信,002115,2026-01-21,2026-01-07,2026-01-21,2026-01-07,12.72,10日异动,25.71,17.81,44.36%
三维通信,002115,2026-01-22,2026-01-08,2026-01-22,2026-01-08,13.38,10日异动,27.02,17.81,51.72%
三维通信,002115,2026-01-23,2026-01-11,2026-01-23,2026-01-12,16.19,10日异动,32.15,17.81,80.52%
三维通信,002115,2026-01-26,2026-01-12,2026-01-26,2026-01-12,16.19,10日异动,32.15,17.81,80.52%
三维通信,002115,2026-01-27,2025-12-14,2026-01-27,2025-12-23,10.78,30日异动,33.14,17.81,86.05%

海格通信,002465,2026-01-14,2025-12-29,2026-01-14,2025-12-30,15.12,10日异动,31.06,24.20,28.34%
海格通信,002465,2026-01-15,2025-12-30,2026-01-15,2025-12-30,15.12,10日异动,31.06,24.20,28.34%
海格通信,002465,2026-01-16,2026-01-04,2026-01-16,2026-01-05,17.33,10日异动,35.30,24.20,45.85%
海格通信,002465,2026-01-19,2026-01-05,2026-01-19,2026-01-05,17.33,10日异动,35.30,24.20,45.85%
海格通信,002465,2026-01-20,2026-01-06,2026-01-20,2026-01-06,19.06,10日异动,38.54,24.20,59.28%
海格通信,002465,2026-01-21,2026-01-07,2026-01-21,2026-01-07,19.45,10日异动,39.31,24.20,62.45%
海格通信,002465,2026-01-22,2025-12-09,2026-01-22,2025-12-17,12.82,30日异动,39.60,24.20,63.63%
海格通信,002465,2026-01-23,2025-12-10,2026-01-23,2025-12-17,12.82,30日异动,39.60,24.20,63.63%
海格通信,002465,2026-01-26,2025-12-11,2026-01-26,2025-12-17,12.82,30日异动,39.60,24.20,63.63%
海格通信,002465,2026-01-27,2025-12-14,2026-01-27,2025-12-17,12.82,30日异动,39.60,24.20,63.63%

中国卫星,600118,2026-01-14,2025-12-01,2026-01-14,2025-12-03,41.79,30日异动,128.19,121.52,5.48%
中国卫星,600118,2026-01-15,2025-12-02,2026-01-15,2025-12-03,41.79,30日异动,128.19,121.52,5.48%
中国卫星,600118,2026-01-16,2025-12-03,2026-01-16,2025-12-03,41.79,30日异动,128.19,121.52,5.48%
中国卫星,600118,2026-01-19,2025-12-04,2026-01-19,2025-12-04,45.97,30日异动,141.04,121.52,16.06%
中国卫星,600118,2026-01-20,2025-12-07,2026-01-20,2025-12-09,48.68,30日异动,148.90,121.52,22.53%
中国卫星,600118,2026-01-21,2025-12-08,2026-01-21,2025-12-09,48.68,30日异动,148.90,121.52,22.53%
中国卫星,600118,2026-01-22,2025-12-09,2026-01-22,2025-12-09,48.68,30日异动,148.90,121.52,22.53%
中国卫星,600118,2026-01-23,2025-12-10,2026-01-23,2025-12-10,50.15,30日异动,153.52,121.52,26.33%
中国卫星,600118,2026-01-26,2025-12-11,2026-01-26,2025-12-12,52.10,30日异动,159.65,121.52,31.37%
中国卫星,600118,2026-01-27,2025-12-14,2026-01-27,2025-12-17,52.82,30日异动,162.13,121.52,33.42%

北斗星通,002151,2026-01-14,2025-12-29,2026-01-14,2025-12-30,41.30,10日异动,84.84,60.21,40.90%
北斗星通,002151,2026-01-15,2025-12-30,2026-01-15,2025-12-30,41.30,10日异动,84.84,60.21,40.90%
北斗星通,002151,2026-01-16,2025-12-03,2026-01-16,2025-12-03,30.55,30日异动,94.60,60.21,57.11%
北斗星通,002151,2026-01-19,2025-12-04,2026-01-19,2025-12-04,31.05,30日异动,96.18,60.21,59.74%
北斗星通,002151,2026-01-20,2025-12-07,2026-01-20,2025-12-08,31.57,30日异动,96.95,60.21,61.02%
北斗星通,002151,2026-01-21,2025-12-08,2026-01-21,2025-12-08,31.57,30日异动,96.95,60.21,61.02%
北斗星通,002151,2026-01-22,2025-12-09,2026-01-22,2025-12-12,31.64,30日异动,97.51,60.21,61.96%
北斗星通,002151,2026-01-23,2025-12-10,2026-01-23,2025-12-12,31.64,30日异动,97.51,60.21,61.96%
北斗星通,002151,2026-01-26,2025-12-11,2026-01-26,2025-12-12,31.64,30日异动,97.51,60.21,61.96%
北斗星通,002151,2026-01-27,2025-12-14,2026-01-27,2025-12-15,31.74,30日异动,98.09,60.21,62.91%

鲁信创投,600783,2026-01-14,2025-12-01,2026-01-14,2025-12-01,14.50,30日异动,44.33,39.44,12.41%
鲁信创投,600783,2026-01-15,2025-12-02,2026-01-15,2025-12-02,14.66,30日异动,44.89,39.44,13.81%
鲁信创投,600783,2026-01-16,2025-12-03,2026-01-16,2025-12-17,14.70,30日异动,45.12,39.44,14.40%
鲁信创投,600783,2026-01-19,2025-12-04,2026-01-19,2025-12-17,14.70,30日异动,45.12,39.44,14.40%
鲁信创投,600783,2026-01-20,2025-12-07,2026-01-20,2025-12-17,14.70,30日异动,45.12,39.44,14.40%
