股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
利欧股份,002131,2026-01-15,2025-12-30,2026-01-15,2025-12-30,5.13,10日异动,10.57,9.93,6.47%
利欧股份,002131,2026-01-16,2026-01-04,2026-01-16,2026-01-05,6.20,10日异动,12.67,9.93,27.58%
利欧股份,002131,2026-01-19,2026-01-05,2026-01-19,2026-01-05,6.20,10日异动,12.67,9.93,27.58%
利欧股份,002131,2026-01-20,2026-01-06,2026-01-20,2026-01-07,6.59,10日异动,13.36,9.93,34.58%
利欧股份,002131,2026-01-21,2026-01-07,2026-01-21,2026-01-07,6.59,10日异动,13.36,9.93,34.58%
利欧股份,002131,2026-01-22,2026-01-08,2026-01-22,2026-01-08,6.78,10日异动,13.74,9.93,38.34%
利欧股份,002131,2026-01-23,2025-12-10,2026-01-23,2025-12-16,4.97,30日异动,15.48,9.93,55.87%
利欧股份,002131,2026-01-26,2025-12-11,2026-01-26,2025-12-16,4.97,30日异动,15.48,9.93,55.87%
利欧股份,002131,2026-01-27,2025-12-14,2026-01-27,2025-12-16,4.97,30日异动,15.48,9.93,55.87%
利欧股份,002131,2026-01-28,2025-12-15,2026-01-28,2025-12-16,4.97,30日异动,15.48,9.93,55.87%

引力传媒,603598,2026-01-15,2025-12-30,2026-01-15,2025-12-30,16.42,10日异动,33.51,32.40,3.42%
引力传媒,603598,2026-01-16,2026-01-04,2026-01-16,2026-01-05,18.69,10日异动,37.86,32.40,16.85%
引力传媒,603598,2026-01-19,2026-01-05,2026-01-19,2026-01-05,18.69,10日异动,37.86,32.40,16.85%
引力传媒,603598,2026-01-20,2026-01-06,2026-01-20,2026-01-06,20.56,10日异动,41.33,32.40,27.58%
引力传媒,603598,2026-01-21,2026-01-07,2026-01-21,2026-01-07,22.62,10日异动,45.46,32.40,40.32%
引力传媒,603598,2026-01-22,2026-01-08,2026-01-22,2026-01-08,23.57,10日异动,47.39,32.40,46.26%
引力传媒,603598,2026-01-23,2025-12-10,2026-01-23,2025-12-29,15.88,30日异动,48.29,32.40,49.03%
引力传媒,603598,2026-01-26,2025-12-11,2026-01-26,2025-12-29,15.88,30日异动,48.29,32.40,49.03%
引力传媒,603598,2026-01-27,2025-12-14,2026-01-27,2025-12-29,15.88,30日异动,48.29,32.40,49.03%
引力传媒,603598,2026-01-28,2025-12-15,2026-01-28,2025-12-29,15.88,30日异动,48.29,32.40,49.03%

鹭燕医疗,002788,2026-01-15,2025-12-02,2026-01-15,2025-12-02,9.98,30日异动,30.88,24.30,27.07%
鹭燕医疗,002788,2026-01-16,2025-12-03,2026-01-16,2025-12-04,10.17,30日异动,31.57,24.30,29.94%
鹭燕医疗,002788,2026-01-19,2025-12-04,2026-01-19,2025-12-04,10.17,30日异动,31.57,24.30,29.94%
鹭燕医疗,002788,2026-01-20,2025-12-07,2026-01-20,2025-12-11,10.52,30日异动,32.57,24.30,34.04%
鹭燕医疗,002788,2026-01-21,2025-12-08,2026-01-21,2025-12-11,10.52,30日异动,32.57,24.30,34.04%
鹭燕医疗,002788,2026-01-22,2025-12-09,2026-01-22,2025-12-11,10.52,30日异动,32.57,24.30,34.04%
鹭燕医疗,002788,2026-01-23,2025-12-10,2026-01-23,2025-12-11,10.52,30日异动,32.57,24.30,34.04%
鹭燕医疗,002788,2026-01-26,2025-12-11,2026-01-26,2025-12-11,10.52,30日异动,32.57,24.30,34.04%
鹭燕医疗,002788,2026-01-27,2025-12-14,2026-01-27,2025-12-15,11.00,30日异动,34.07,24.30,40.21%
鹭燕医疗,002788,2026-01-28,2025-12-15,2026-01-28,2025-12-15,11.00,30日异动,34.07,24.30,40.21%

美年健康,002044,2026-01-15,2025-12-30,2026-01-15,2025-12-30,5.17,10日异动,10.66,8.15,30.74%
美年健康,002044,2026-01-16,2026-01-04,2026-01-16,2026-01-07,5.41,10日异动,10.97,8.15,34.61%
美年健康,002044,2026-01-19,2026-01-05,2026-01-19,2026-01-07,5.41,10日异动,10.97,8.15,34.61%
美年健康,002044,2026-01-20,2026-01-06,2026-01-20,2026-01-07,5.41,10日异动,10.97,8.15,34.61%
美年健康,002044,2026-01-21,2026-01-07,2026-01-21,2026-01-07,5.41,10日异动,10.97,8.15,34.61%
美年健康,002044,2026-01-22,2026-01-08,2026-01-22,2026-01-08,5.57,10日异动,11.29,8.15,38.47%
美年健康,002044,2026-01-23,2026-01-11,2026-01-23,2026-01-12,6.74,10日异动,13.43,8.15,64.76%
美年健康,002044,2026-01-26,2026-01-12,2026-01-26,2026-01-12,6.74,10日异动,13.43,8.15,64.76%
美年健康,002044,2026-01-27,2026-01-13,2026-01-27,2026-01-13,7.41,10日异动,14.87,8.15,82.43%
美年健康,002044,2026-01-28,2025-12-15,2026-01-28,2025-12-15,4.93,30日异动,15.27,8.15,87.37%

