股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
航天机电,600151,18.83,8,2026-01-26,37.66,100.0,7,2026-01-15
航天动力,600343,45.78,8,2026-01-26,91.42,99.6941896024465,7,2026-01-15
北斗星通,2151,54.23,9,2026-01-27,98.31,81.28342245989306,6,2026-01-15
杭萧钢构,600477,4.45,9,2026-01-27,8.01,79.99999999999999,2,2026-01-15
三维通信,2115,19.59,9,2026-01-27,33.21,69.52526799387444,2,2026-01-15
航天电子,600879,29.75,10,2026-01-28,48.52,63.09243697478992,1,2026-01-15
通宇通讯,2792,62.97,10,2026-01-28,98.11,55.80435127838654,3,2026-01-15
银河电子,2519,11.46,5,2026-01-21,17.28,50.78534031413613,2,2026-01-15
金风科技,2202,33.38,8,2026-01-26,50.1,50.08987417615338,3,2026-01-15
海格通信,2465,26.62,6,2026-01-22,39.69,49.09842223891809,2,2026-01-15
中国卫星,600118,118.7,9,2026-01-27,161.96,36.44481887110362,1,2026-01-19
鲁信创投,600783,35.5,3,2026-01-19,45.07,26.957746478873233,2,2026-01-15
神剑股份,2361,18.12,9,2026-01-27,20.9,15.342163355408367,1,2026-01-15
