股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
利通电子,603629,2026-05-11,2026-03-24,2026-05-11,2026-03-24,56.98,30日异动,175.33,167.59,4.62%
利通电子,603629,2026-05-12,2026-03-25,2026-05-12,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-13,2026-03-26,2026-05-13,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-14,2026-03-29,2026-05-14,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-15,2026-03-30,2026-05-15,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-18,2026-03-31,2026-05-18,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-19,2026-04-01,2026-05-19,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-20,2026-04-02,2026-05-20,2026-04-03,59.42,30日异动,182.86,167.59,9.11%
利通电子,603629,2026-05-21,2026-04-06,2026-05-21,2026-04-07,64.00,30日异动,196.77,167.59,17.41%
利通电子,603629,2026-05-22,2026-04-07,2026-05-22,2026-04-07,64.00,30日异动,196.77,167.59,17.41%
利通电子,603629,2026-05-25,2026-04-08,2026-05-25,2026-04-08,70.40,30日异动,214.46,167.59,27.97%
利通电子,603629,2026-05-26,2026-04-09,2026-05-26,2026-04-10,72.68,30日异动,221.57,167.59,32.21%
利通电子,603629,2026-05-27,2026-04-12,2026-05-27,2026-04-13,72.68,30日异动,221.53,167.59,32.18%
利通电子,603629,2026-05-28,2026-04-13,2026-05-28,2026-04-13,72.68,30日异动,221.53,167.59,32.18%
利通电子,603629,2026-05-29,2026-04-14,2026-05-29,2026-04-14,79.95,30日异动,242.89,167.59,44.93%
利通电子,603629,2026-06-01,2026-04-15,2026-06-01,2026-04-15,87.95,30日异动,267.19,167.59,59.43%
利通电子,603629,2026-06-02,2026-04-16,2026-06-02,2026-04-16,95.85,30日异动,290.49,167.59,73.34%
利通电子,603629,2026-06-03,2026-04-19,2026-06-03,2026-04-21,101.19,30日异动,305.92,167.59,82.54%
利通电子,603629,2026-06-04,2026-04-20,2026-06-04,2026-04-21,101.19,30日异动,305.92,167.59,82.54%
利通电子,603629,2026-06-05,2026-04-21,2026-06-05,2026-04-21,101.19,30日异动,305.92,167.59,82.54%

盈峰环境,000967,2026-05-11,2026-04-22,2026-05-11,2026-04-27,12.89,10日异动,26.34,16.30,61.58%
盈峰环境,000967,2026-05-12,2026-04-23,2026-05-12,2026-04-27,12.89,10日异动,26.34,16.30,61.58%
盈峰环境,000967,2026-05-13,2026-04-26,2026-05-13,2026-04-27,12.89,10日异动,26.34,16.30,61.58%
盈峰环境,000967,2026-05-14,2026-04-27,2026-05-14,2026-04-27,12.89,10日异动,26.34,16.30,61.58%
盈峰环境,000967,2026-05-15,2026-03-30,2026-05-15,2026-03-31,8.51,30日异动,26.67,16.30,63.64%
盈峰环境,000967,2026-05-18,2026-03-31,2026-05-18,2026-03-31,8.51,30日异动,26.67,16.30,63.64%
盈峰环境,000967,2026-05-19,2026-04-01,2026-05-19,2026-04-03,9.01,30日异动,28.39,16.30,74.18%
盈峰环境,000967,2026-05-20,2026-04-02,2026-05-20,2026-04-03,9.01,30日异动,28.39,16.30,74.18%
盈峰环境,000967,2026-05-21,2026-04-06,2026-05-21,2026-04-07,9.19,30日异动,28.88,16.30,77.15%
盈峰环境,000967,2026-05-22,2026-04-07,2026-05-22,2026-04-07,9.19,30日异动,28.88,16.30,77.15%
盈峰环境,000967,2026-05-25,2026-04-08,2026-05-25,2026-04-08,9.37,30日异动,28.99,16.30,77.88%
盈峰环境,000967,2026-05-26,2026-04-09,2026-05-26,2026-04-09,9.50,30日异动,29.46,16.30,80.74%
盈峰环境,000967,2026-05-27,2026-05-13,2026-05-27,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-05-28,2026-05-14,2026-05-28,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-05-29,2026-05-17,2026-05-29,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-06-01,2026-05-18,2026-06-01,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-06-02,2026-05-19,2026-06-02,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-06-03,2026-05-20,2026-06-03,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-06-04,2026-05-21,2026-06-04,2026-05-08,16.30,10日异动,32.60,16.30,100.00%
盈峰环境,000967,2026-06-05,2026-05-24,2026-06-05,2026-05-08,16.30,10日异动,32.60,16.30,100.00%

润建股份,002929,2026-05-11,2026-04-22,2026-05-11,2026-04-29,54.25,10日异动,110.52,78.23,41.28%
润建股份,002929,2026-05-12,2026-04-23,2026-05-12,2026-04-29,54.25,10日异动,110.52,78.23,41.28%
润建股份,002929,2026-05-13,2026-04-26,2026-05-13,2026-04-29,54.25,10日异动,110.52,78.23,41.28%
润建股份,002929,2026-05-14,2026-04-27,2026-05-14,2026-04-29,54.25,10日异动,110.52,78.23,41.28%
润建股份,002929,2026-05-15,2026-04-28,2026-05-15,2026-04-29,54.25,10日异动,110.52,78.23,41.28%
